
---------- Begin Simulation Statistics ----------
simSeconds                                   1.820284                       # Number of seconds simulated (Second)
simTicks                                 1820283557004                       # Number of ticks simulated (Tick)
finalTick                                1820283557004                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   5104.06                       # Real time elapsed on the host (Second)
hostTickRate                                356634374                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1472088                       # Number of bytes of host memory used (Byte)
simInsts                                    362084878                       # Number of instructions simulated (Count)
simOps                                      415116913                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    70940                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      81331                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 1820283557004                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       267272391                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      278494102                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 1998342                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     279465150                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                156771                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            20274285                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         15421364                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved             180291                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          260899863                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.071159                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.795501                       # Number of insts issued each cycle (Count)
system.cpu2.icache.demandMisses::total         136107                       # number of demand (read+write) misses (Count)
system.cpu2.icache.overallMisses::cpu2.inst       136107                       # number of overall misses (Count)
system.cpu2.icache.overallMisses::total        136107                       # number of overall misses (Count)
system.cpu2.icache.demandMissLatency::cpu2.inst   1331602394                       # number of demand (read+write) miss ticks (Tick)
system.cpu2.icache.demandMissLatency::total   1331602394                       # number of demand (read+write) miss ticks (Tick)
system.cpu2.icache.overallMissLatency::cpu2.inst   1331602394                       # number of overall miss ticks (Tick)
system.cpu2.icache.overallMissLatency::total   1331602394                       # number of overall miss ticks (Tick)
system.cpu2.icache.demandAccesses::cpu2.inst      7420013                       # number of demand (read+write) accesses (Count)
system.cpu2.icache.demandAccesses::total      7420013                       # number of demand (read+write) accesses (Count)
system.cpu2.icache.overallAccesses::cpu2.inst      7420013                       # number of overall (read+write) accesses (Count)
system.cpu2.icache.overallAccesses::total      7420013                       # number of overall (read+write) accesses (Count)
system.cpu2.icache.demandMissRate::cpu2.inst     0.018343                       # miss rate for demand accesses (Ratio)
system.cpu2.icache.demandMissRate::total     0.018343                       # miss rate for demand accesses (Ratio)
system.cpu2.icache.overallMissRate::cpu2.inst     0.018343                       # miss rate for overall accesses (Ratio)
system.cpu2.icache.overallMissRate::total     0.018343                       # miss rate for overall accesses (Ratio)
system.cpu2.icache.demandAvgMissLatency::cpu2.inst  9783.496764                       # average overall miss latency ((Cycle/Count))
system.cpu2.icache.demandAvgMissLatency::total  9783.496764                       # average overall miss latency ((Cycle/Count))
system.cpu2.icache.overallAvgMissLatency::cpu2.inst  9783.496764                       # average overall miss latency ((Cycle/Count))
system.cpu2.icache.overallAvgMissLatency::total  9783.496764                       # average overall miss latency ((Cycle/Count))
system.cpu2.icache.blockedCycles::no_mshrs         1348                       # number of cycles access was blocked (Cycle)
system.cpu2.icache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu2.icache.blockedCauses::no_mshrs           67                       # number of times access was blocked (Count)
system.cpu2.icache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu2.icache.avgBlocked::no_mshrs     20.119403                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu2.icache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu2.icache.writebacks::writebacks       129049                       # number of writebacks (Count)
system.cpu2.icache.writebacks::total           129049                       # number of writebacks (Count)
system.cpu2.icache.demandMshrHits::cpu2.inst         6545                       # number of demand (read+write) MSHR hits (Count)
system.cpu2.icache.demandMshrHits::total         6545                       # number of demand (read+write) MSHR hits (Count)
system.cpu2.icache.overallMshrHits::cpu2.inst         6545                       # number of overall MSHR hits (Count)
system.cpu2.icache.overallMshrHits::total         6545                       # number of overall MSHR hits (Count)
system.cpu2.icache.demandMshrMisses::cpu2.inst       129562                       # number of demand (read+write) MSHR misses (Count)
system.cpu2.icache.demandMshrMisses::total       129562                       # number of demand (read+write) MSHR misses (Count)
system.cpu2.icache.overallMshrMisses::cpu2.inst       129562                       # number of overall MSHR misses (Count)
system.cpu2.icache.overallMshrMisses::total       129562                       # number of overall MSHR misses (Count)
system.cpu2.icache.overallMshrUncacheable::cpu2.inst           50                       # number of overall MSHR uncacheable misses (Count)
system.cpu2.icache.overallMshrUncacheable::total           50                       # number of overall MSHR uncacheable misses (Count)
system.cpu2.icache.demandMshrMissLatency::cpu2.inst   1194209926                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu2.icache.demandMshrMissLatency::total   1194209926                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu2.icache.overallMshrMissLatency::cpu2.inst   1194209926                       # number of overall MSHR miss ticks (Tick)
system.cpu2.icache.overallMshrMissLatency::total   1194209926                       # number of overall MSHR miss ticks (Tick)
system.cpu2.icache.overallMshrUncacheableLatency::cpu2.inst      4842153                       # number of overall MSHR uncacheable ticks (Tick)
system.cpu2.icache.overallMshrUncacheableLatency::total      4842153                       # number of overall MSHR uncacheable ticks (Tick)
system.cpu2.icache.demandMshrMissRate::cpu2.inst     0.017461                       # mshr miss ratio for demand accesses (Ratio)
system.cpu2.icache.demandMshrMissRate::total     0.017461                       # mshr miss ratio for demand accesses (Ratio)
system.cpu2.icache.overallMshrMissRate::cpu2.inst     0.017461                       # mshr miss ratio for overall accesses (Ratio)
system.cpu2.icache.overallMshrMissRate::total     0.017461                       # mshr miss ratio for overall accesses (Ratio)
system.cpu2.icache.demandAvgMshrMissLatency::cpu2.inst  9217.285361                       # average overall mshr miss latency ((Cycle/Count))
system.cpu2.icache.demandAvgMshrMissLatency::total  9217.285361                       # average overall mshr miss latency ((Cycle/Count))
system.cpu2.icache.overallAvgMshrMissLatency::cpu2.inst  9217.285361                       # average overall mshr miss latency ((Cycle/Count))
system.cpu2.icache.overallAvgMshrMissLatency::total  9217.285361                       # average overall mshr miss latency ((Cycle/Count))
system.cpu2.icache.overallAvgMshrUncacheableLatency::cpu2.inst 96843.060000                       # average overall mshr uncacheable latency ((Cycle/Count))
system.cpu2.icache.overallAvgMshrUncacheableLatency::total 96843.060000                       # average overall mshr uncacheable latency ((Cycle/Count))
system.cpu2.icache.replacements                129049                       # number of replacements (Count)
system.cpu2.icache.ReadReq.hits::cpu2.inst      7283906                       # number of ReadReq hits (Count)
system.cpu2.icache.ReadReq.hits::total        7283906                       # number of ReadReq hits (Count)
system.cpu2.icache.ReadReq.misses::cpu2.inst       136107                       # number of ReadReq misses (Count)
system.cpu2.icache.ReadReq.misses::total       136107                       # number of ReadReq misses (Count)
system.cpu2.icache.ReadReq.missLatency::cpu2.inst   1331602394                       # number of ReadReq miss ticks (Tick)
system.cpu2.icache.ReadReq.missLatency::total   1331602394                       # number of ReadReq miss ticks (Tick)
system.cpu2.icache.ReadReq.accesses::cpu2.inst      7420013                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu2.icache.ReadReq.accesses::total      7420013                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu2.icache.ReadReq.missRate::cpu2.inst     0.018343                       # miss rate for ReadReq accesses (Ratio)
system.cpu2.icache.ReadReq.missRate::total     0.018343                       # miss rate for ReadReq accesses (Ratio)
system.cpu2.icache.ReadReq.avgMissLatency::cpu2.inst  9783.496764                       # average ReadReq miss latency ((Tick/Count))
system.cpu2.icache.ReadReq.avgMissLatency::total  9783.496764                       # average ReadReq miss latency ((Tick/Count))
system.cpu2.icache.ReadReq.mshrHits::cpu2.inst         6545                       # number of ReadReq MSHR hits (Count)
system.cpu2.icache.ReadReq.mshrHits::total         6545                       # number of ReadReq MSHR hits (Count)
system.cpu2.icache.ReadReq.mshrMisses::cpu2.inst       129562                       # number of ReadReq MSHR misses (Count)
system.cpu2.icache.ReadReq.mshrMisses::total       129562                       # number of ReadReq MSHR misses (Count)
system.cpu2.icache.ReadReq.mshrUncacheable::cpu2.inst           50                       # number of ReadReq MSHR uncacheable (Count)
system.cpu2.icache.ReadReq.mshrUncacheable::total           50                       # number of ReadReq MSHR uncacheable (Count)
system.cpu2.icache.ReadReq.mshrMissLatency::cpu2.inst   1194209926                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu2.icache.ReadReq.mshrMissLatency::total   1194209926                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu2.icache.ReadReq.mshrUncacheableLatency::cpu2.inst      4842153                       # number of ReadReq MSHR uncacheable ticks (Tick)
system.cpu2.icache.ReadReq.mshrUncacheableLatency::total      4842153                       # number of ReadReq MSHR uncacheable ticks (Tick)
system.cpu2.icache.ReadReq.mshrMissRate::cpu2.inst     0.017461                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu2.icache.ReadReq.mshrMissRate::total     0.017461                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu2.icache.ReadReq.avgMshrMissLatency::cpu2.inst  9217.285361                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu2.icache.ReadReq.avgMshrMissLatency::total  9217.285361                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu2.icache.ReadReq.avgMshrUncacheableLatency::cpu2.inst 96843.060000                       # average ReadReq mshr uncacheable latency ((Tick/Count))
system.cpu2.icache.ReadReq.avgMshrUncacheableLatency::total 96843.060000                       # average ReadReq mshr uncacheable latency ((Tick/Count))
system.cpu2.icache.power_state.pwrStateResidencyTicks::UNDEFINED 1820283557004                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu2.icache.tags.tagsInUse          505.415740                       # Average ticks per tags in use ((Tick/Count))
system.cpu2.icache.tags.totalRefs             7413468                       # Total number of references to valid blocks. (Count)
system.cpu2.icache.tags.sampledRefs            129562                       # Sample count of references to valid blocks. (Count)
system.cpu2.icache.tags.avgRefs             57.219462                       # Average number of references to valid blocks. ((Count/Count))
system.cpu2.icache.tags.warmupTick        23353000290                       # The tick when the warmup percentage was hit. (Tick)
system.cpu2.icache.tags.occupancies::cpu2.inst   505.415740                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.cpu2.icache.tags.avgOccs::cpu2.inst     0.987140                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu2.icache.tags.avgOccs::total       0.987140                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu2.icache.tags.occupanciesTaskId::1024          512                       # Occupied blocks per task id (Count)
system.cpu2.icache.tags.ageTaskId_1024::1            1                       # Occupied blocks per task id, per block age (Count)
system.cpu2.icache.tags.ageTaskId_1024::2           74                       # Occupied blocks per task id, per block age (Count)
system.cpu2.icache.tags.ageTaskId_1024::3           24                       # Occupied blocks per task id, per block age (Count)
system.cpu2.icache.tags.ageTaskId_1024::4          413                       # Occupied blocks per task id, per block age (Count)
system.cpu2.icache.tags.ratioOccsTaskId::1024            1                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.cpu2.icache.tags.tagAccesses          14969588                       # Number of tag accesses (Count)
system.cpu2.icache.tags.dataAccesses         14969588                       # Number of data accesses (Count)
system.cpu2.icache.tags.power_state.pwrStateResidencyTicks::UNDEFINED 1820283557004                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu2.l2cache.demandHits::cpu2.mmu.dtb_walker        27079                       # number of demand (read+write) hits (Count)
system.cpu2.l2cache.demandHits::cpu2.mmu.itb_walker          566                       # number of demand (read+write) hits (Count)
system.cpu2.l2cache.demandHits::cpu2.inst       125887                       # number of demand (read+write) hits (Count)
system.cpu2.l2cache.demandHits::cpu2.data         9314                       # number of demand (read+write) hits (Count)
system.cpu2.l2cache.demandHits::cpu3.mmu.dtb_walker        70547                       # number of demand (read+write) hits (Count)
system.cpu2.l2cache.demandHits::cpu3.mmu.itb_walker         1784                       # number of demand (read+write) hits (Count)
system.cpu2.l2cache.demandHits::cpu3.inst       283556                       # number of demand (read+write) hits (Count)
system.cpu2.l2cache.demandHits::cpu3.data        35087                       # number of demand (read+write) hits (Count)
system.cpu2.l2cache.demandHits::total          553820                       # number of demand (read+write) hits (Count)
system.cpu2.l2cache.overallHits::cpu2.mmu.dtb_walker        27079                       # number of overall hits (Count)
system.cpu2.l2cache.overallHits::cpu2.mmu.itb_walker          566                       # number of overall hits (Count)
system.cpu2.l2cache.overallHits::cpu2.inst       125887                       # number of overall hits (Count)
system.cpu2.l2cache.overallHits::cpu2.data         9314                       # number of overall hits (Count)
system.cpu2.l2cache.overallHits::cpu3.mmu.dtb_walker        70547                       # number of overall hits (Count)
system.cpu2.l2cache.overallHits::cpu3.mmu.itb_walker         1784                       # number of overall hits (Count)
system.cpu2.l2cache.overallHits::cpu3.inst       283556                       # number of overall hits (Count)
system.cpu2.l2cache.overallHits::cpu3.data        35087                       # number of overall hits (Count)
system.cpu2.l2cache.overallHits::total         553820                       # number of overall hits (Count)
system.cpu2.l2cache.demandMisses::cpu2.mmu.dtb_walker          145                       # number of demand (read+write) misses (Count)
system.cpu2.l2cache.demandMisses::cpu2.mmu.itb_walker           10                       # number of demand (read+write) misses (Count)
system.cpu2.l2cache.demandMisses::cpu2.inst         3675                       # number of demand (read+write) misses (Count)
system.cpu2.l2cache.demandMisses::cpu2.data         8093                       # number of demand (read+write) misses (Count)
system.cpu2.l2cache.demandMisses::cpu3.mmu.dtb_walker          240                       # number of demand (read+write) misses (Count)
system.cpu2.l2cache.demandMisses::cpu3.mmu.itb_walker           28                       # number of demand (read+write) misses (Count)
system.cpu2.l2cache.demandMisses::cpu3.inst         9500                       # number of demand (read+write) misses (Count)
system.cpu2.l2cache.demandMisses::cpu3.data        16281                       # number of demand (read+write) misses (Count)
system.cpu2.l2cache.demandMisses::total         37972                       # number of demand (read+write) misses (Count)
system.cpu2.l2cache.overallMisses::cpu2.mmu.dtb_walker          145                       # number of overall misses (Count)
system.cpu2.l2cache.overallMisses::cpu2.mmu.itb_walker           10                       # number of overall misses (Count)
system.cpu2.l2cache.overallMisses::cpu2.inst         3675                       # number of overall misses (Count)
system.cpu2.l2cache.overallMisses::cpu2.data         8093                       # number of overall misses (Count)
system.cpu2.l2cache.overallMisses::cpu3.mmu.dtb_walker          240                       # number of overall misses (Count)
system.cpu2.l2cache.overallMisses::cpu3.mmu.itb_walker           28                       # number of overall misses (Count)
system.cpu2.l2cache.overallMisses::cpu3.inst         9500                       # number of overall misses (Count)
system.cpu2.l2cache.overallMisses::cpu3.data        16281                       # number of overall misses (Count)
system.cpu2.l2cache.overallMisses::total        37972                       # number of overall misses (Count)
system.cpu2.l2cache.demandMissLatency::cpu2.mmu.dtb_walker      5029161                       # number of demand (read+write) miss ticks (Tick)
system.cpu2.l2cache.demandMissLatency::cpu2.mmu.itb_walker       323667                       # number of demand (read+write) miss ticks (Tick)
system.cpu2.l2cache.demandMissLatency::cpu2.inst    146571948                       # number of demand (read+write) miss ticks (Tick)
system.cpu2.l2cache.demandMissLatency::cpu2.data    382090860                       # number of demand (read+write) miss ticks (Tick)
system.cpu2.l2cache.demandMissLatency::cpu3.mmu.dtb_walker      8510255                       # number of demand (read+write) miss ticks (Tick)
system.cpu2.l2cache.demandMissLatency::cpu3.mmu.itb_walker       678627                       # number of demand (read+write) miss ticks (Tick)
system.cpu2.l2cache.demandMissLatency::cpu3.inst    429301935                       # number of demand (read+write) miss ticks (Tick)
system.cpu2.l2cache.demandMissLatency::cpu3.data    850064085                       # number of demand (read+write) miss ticks (Tick)
system.cpu2.l2cache.demandMissLatency::total   1822570538                       # number of demand (read+write) miss ticks (Tick)
system.cpu2.l2cache.overallMissLatency::cpu2.mmu.dtb_walker      5029161                       # number of overall miss ticks (Tick)
system.cpu2.l2cache.overallMissLatency::cpu2.mmu.itb_walker       323667                       # number of overall miss ticks (Tick)
system.cpu2.l2cache.overallMissLatency::cpu2.inst    146571948                       # number of overall miss ticks (Tick)
system.cpu2.l2cache.overallMissLatency::cpu2.data    382090860                       # number of overall miss ticks (Tick)
system.cpu2.l2cache.overallMissLatency::cpu3.mmu.dtb_walker      8510255                       # number of overall miss ticks (Tick)
system.cpu2.l2cache.overallMissLatency::cpu3.mmu.itb_walker       678627                       # number of overall miss ticks (Tick)
system.cpu2.l2cache.overallMissLatency::cpu3.inst    429301935                       # number of overall miss ticks (Tick)
system.cpu2.l2cache.overallMissLatency::cpu3.data    850064085                       # number of overall miss ticks (Tick)
system.cpu2.l2cache.overallMissLatency::total   1822570538                       # number of overall miss ticks (Tick)
system.cpu2.l2cache.demandAccesses::cpu2.mmu.dtb_walker        27224                       # number of demand (read+write) accesses (Count)
system.cpu2.l2cache.demandAccesses::cpu2.mmu.itb_walker          576                       # number of demand (read+write) accesses (Count)
system.cpu2.l2cache.demandAccesses::cpu2.inst       129562                       # number of demand (read+write) accesses (Count)
system.cpu2.l2cache.demandAccesses::cpu2.data        17407                       # number of demand (read+write) accesses (Count)
system.cpu2.l2cache.demandAccesses::cpu3.mmu.dtb_walker        70787                       # number of demand (read+write) accesses (Count)
system.cpu2.l2cache.demandAccesses::cpu3.mmu.itb_walker         1812                       # number of demand (read+write) accesses (Count)
system.cpu2.l2cache.demandAccesses::cpu3.inst       293056                       # number of demand (read+write) accesses (Count)
system.cpu2.l2cache.demandAccesses::cpu3.data        51368                       # number of demand (read+write) accesses (Count)
system.cpu2.l2cache.demandAccesses::total       591792                       # number of demand (read+write) accesses (Count)
system.cpu2.l2cache.overallAccesses::cpu2.mmu.dtb_walker        27224                       # number of overall (read+write) accesses (Count)
system.cpu2.l2cache.overallAccesses::cpu2.mmu.itb_walker          576                       # number of overall (read+write) accesses (Count)
system.cpu2.l2cache.overallAccesses::cpu2.inst       129562                       # number of overall (read+write) accesses (Count)
system.cpu2.l2cache.overallAccesses::cpu2.data        17407                       # number of overall (read+write) accesses (Count)
system.cpu2.l2cache.overallAccesses::cpu3.mmu.dtb_walker        70787                       # number of overall (read+write) accesses (Count)
system.cpu2.l2cache.overallAccesses::cpu3.mmu.itb_walker         1812                       # number of overall (read+write) accesses (Count)
system.cpu2.l2cache.overallAccesses::cpu3.inst       293056                       # number of overall (read+write) accesses (Count)
system.cpu2.l2cache.overallAccesses::cpu3.data        51368                       # number of overall (read+write) accesses (Count)
system.cpu2.l2cache.overallAccesses::total       591792                       # number of overall (read+write) accesses (Count)
system.cpu2.l2cache.demandMissRate::cpu2.mmu.dtb_walker     0.005326                       # miss rate for demand accesses (Ratio)
system.cpu2.l2cache.demandMissRate::cpu2.mmu.itb_walker     0.017361                       # miss rate for demand accesses (Ratio)
system.cpu2.l2cache.demandMissRate::cpu2.inst     0.028365                       # miss rate for demand accesses (Ratio)
system.cpu2.l2cache.demandMissRate::cpu2.data     0.464928                       # miss rate for demand accesses (Ratio)
system.cpu2.l2cache.demandMissRate::cpu3.mmu.dtb_walker     0.003390                       # miss rate for demand accesses (Ratio)
system.cpu2.l2cache.demandMissRate::cpu3.mmu.itb_walker     0.015453                       # miss rate for demand accesses (Ratio)
system.cpu2.l2cache.demandMissRate::cpu3.inst     0.032417                       # miss rate for demand accesses (Ratio)
system.cpu2.l2cache.demandMissRate::cpu3.data     0.316948                       # miss rate for demand accesses (Ratio)
system.cpu2.l2cache.demandMissRate::total     0.064164                       # miss rate for demand accesses (Ratio)
system.cpu2.l2cache.overallMissRate::cpu2.mmu.dtb_walker     0.005326                       # miss rate for overall accesses (Ratio)
system.cpu2.l2cache.overallMissRate::cpu2.mmu.itb_walker     0.017361                       # miss rate for overall accesses (Ratio)
system.cpu2.l2cache.overallMissRate::cpu2.inst     0.028365                       # miss rate for overall accesses (Ratio)
system.cpu2.l2cache.overallMissRate::cpu2.data     0.464928                       # miss rate for overall accesses (Ratio)
system.cpu2.l2cache.overallMissRate::cpu3.mmu.dtb_walker     0.003390                       # miss rate for overall accesses (Ratio)
system.cpu2.l2cache.overallMissRate::cpu3.mmu.itb_walker     0.015453                       # miss rate for overall accesses (Ratio)
system.cpu2.l2cache.overallMissRate::cpu3.inst     0.032417                       # miss rate for overall accesses (Ratio)
system.cpu2.l2cache.overallMissRate::cpu3.data     0.316948                       # miss rate for overall accesses (Ratio)
system.cpu2.l2cache.overallMissRate::total     0.064164                       # miss rate for overall accesses (Ratio)
system.cpu2.l2cache.demandAvgMissLatency::cpu2.mmu.dtb_walker 34683.868966                       # average overall miss latency ((Cycle/Count))
system.cpu2.l2cache.demandAvgMissLatency::cpu2.mmu.itb_walker 32366.700000                       # average overall miss latency ((Cycle/Count))
system.cpu2.l2cache.demandAvgMissLatency::cpu2.inst 39883.523265                       # average overall miss latency ((Cycle/Count))
system.cpu2.l2cache.demandAvgMissLatency::cpu2.data 47212.512047                       # average overall miss latency ((Cycle/Count))
system.cpu2.l2cache.demandAvgMissLatency::cpu3.mmu.dtb_walker 35459.395833                       # average overall miss latency ((Cycle/Count))
system.cpu2.l2cache.demandAvgMissLatency::cpu3.mmu.itb_walker 24236.678571                       # average overall miss latency ((Cycle/Count))
system.cpu2.l2cache.demandAvgMissLatency::cpu3.inst 45189.677368                       # average overall miss latency ((Cycle/Count))
system.cpu2.l2cache.demandAvgMissLatency::cpu3.data 52212.031509                       # average overall miss latency ((Cycle/Count))
system.cpu2.l2cache.demandAvgMissLatency::total 47997.749342                       # average overall miss latency ((Cycle/Count))
system.cpu2.l2cache.overallAvgMissLatency::cpu2.mmu.dtb_walker 34683.868966                       # average overall miss latency ((Cycle/Count))
system.cpu2.l2cache.overallAvgMissLatency::cpu2.mmu.itb_walker 32366.700000                       # average overall miss latency ((Cycle/Count))
system.cpu2.l2cache.overallAvgMissLatency::cpu2.inst 39883.523265                       # average overall miss latency ((Cycle/Count))
system.cpu2.l2cache.overallAvgMissLatency::cpu2.data 47212.512047                       # average overall miss latency ((Cycle/Count))
system.cpu2.l2cache.overallAvgMissLatency::cpu3.mmu.dtb_walker 35459.395833                       # average overall miss latency ((Cycle/Count))
system.cpu2.l2cache.overallAvgMissLatency::cpu3.mmu.itb_walker 24236.678571                       # average overall miss latency ((Cycle/Count))
system.cpu2.l2cache.overallAvgMissLatency::cpu3.inst 45189.677368                       # average overall miss latency ((Cycle/Count))
system.cpu2.l2cache.overallAvgMissLatency::cpu3.data 52212.031509                       # average overall miss latency ((Cycle/Count))
system.cpu2.l2cache.overallAvgMissLatency::total 47997.749342                       # average overall miss latency ((Cycle/Count))
system.cpu2.l2cache.blockedCycles::no_mshrs            0                       # number of cycles access was blocked (Cycle)
system.cpu2.l2cache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu2.l2cache.blockedCauses::no_mshrs            0                       # number of times access was blocked (Count)
system.cpu2.l2cache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu2.l2cache.avgBlocked::no_mshrs          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu2.l2cache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu2.l2cache.writebacks::writebacks         5314                       # number of writebacks (Count)
system.cpu2.l2cache.writebacks::total            5314                       # number of writebacks (Count)
system.cpu2.l2cache.demandMshrHits::cpu2.mmu.dtb_walker            1                       # number of demand (read+write) MSHR hits (Count)
system.cpu2.l2cache.demandMshrHits::cpu2.mmu.itb_walker            1                       # number of demand (read+write) MSHR hits (Count)
system.cpu2.l2cache.demandMshrHits::cpu2.inst           25                       # number of demand (read+write) MSHR hits (Count)
system.cpu2.l2cache.demandMshrHits::cpu2.data          138                       # number of demand (read+write) MSHR hits (Count)
system.cpu2.l2cache.demandMshrHits::cpu3.mmu.dtb_walker            2                       # number of demand (read+write) MSHR hits (Count)
system.cpu2.l2cache.demandMshrHits::cpu3.inst           24                       # number of demand (read+write) MSHR hits (Count)
system.cpu2.l2cache.demandMshrHits::cpu3.data          148                       # number of demand (read+write) MSHR hits (Count)
system.cpu2.l2cache.demandMshrHits::total          339                       # number of demand (read+write) MSHR hits (Count)
system.cpu2.l2cache.overallMshrHits::cpu2.mmu.dtb_walker            1                       # number of overall MSHR hits (Count)
system.cpu2.l2cache.overallMshrHits::cpu2.mmu.itb_walker            1                       # number of overall MSHR hits (Count)
system.cpu2.l2cache.overallMshrHits::cpu2.inst           25                       # number of overall MSHR hits (Count)
system.cpu2.l2cache.overallMshrHits::cpu2.data          138                       # number of overall MSHR hits (Count)
system.cpu2.l2cache.overallMshrHits::cpu3.mmu.dtb_walker            2                       # number of overall MSHR hits (Count)
system.cpu2.l2cache.overallMshrHits::cpu3.inst           24                       # number of overall MSHR hits (Count)
system.cpu2.l2cache.overallMshrHits::cpu3.data          148                       # number of overall MSHR hits (Count)
system.cpu2.l2cache.overallMshrHits::total          339                       # number of overall MSHR hits (Count)
system.cpu2.l2cache.demandMshrMisses::cpu2.mmu.dtb_walker          144                       # number of demand (read+write) MSHR misses (Count)
system.cpu2.l2cache.demandMshrMisses::cpu2.mmu.itb_walker            9                       # number of demand (read+write) MSHR misses (Count)
system.cpu2.l2cache.demandMshrMisses::cpu2.inst         3650                       # number of demand (read+write) MSHR misses (Count)
system.cpu2.l2cache.demandMshrMisses::cpu2.data         7955                       # number of demand (read+write) MSHR misses (Count)
system.cpu2.l2cache.demandMshrMisses::cpu3.mmu.dtb_walker          238                       # number of demand (read+write) MSHR misses (Count)
system.cpu2.l2cache.demandMshrMisses::cpu3.mmu.itb_walker           28                       # number of demand (read+write) MSHR misses (Count)
system.cpu2.l2cache.demandMshrMisses::cpu3.inst         9476                       # number of demand (read+write) MSHR misses (Count)
system.cpu2.l2cache.demandMshrMisses::cpu3.data        16133                       # number of demand (read+write) MSHR misses (Count)
system.cpu2.l2cache.demandMshrMisses::total        37633                       # number of demand (read+write) MSHR misses (Count)
system.cpu2.l2cache.overallMshrMisses::cpu2.mmu.dtb_walker          144                       # number of overall MSHR misses (Count)
system.cpu2.l2cache.overallMshrMisses::cpu2.mmu.itb_walker            9                       # number of overall MSHR misses (Count)
system.cpu2.l2cache.overallMshrMisses::cpu2.inst         3650                       # number of overall MSHR misses (Count)
system.cpu2.l2cache.overallMshrMisses::cpu2.data         7955                       # number of overall MSHR misses (Count)
system.cpu2.l2cache.overallMshrMisses::cpu3.mmu.dtb_walker          238                       # number of overall MSHR misses (Count)
system.cpu2.l2cache.overallMshrMisses::cpu3.mmu.itb_walker           28                       # number of overall MSHR misses (Count)
system.cpu2.l2cache.overallMshrMisses::cpu3.inst         9476                       # number of overall MSHR misses (Count)
system.cpu2.l2cache.overallMshrMisses::cpu3.data        16133                       # number of overall MSHR misses (Count)
system.cpu2.l2cache.overallMshrMisses::total        37633                       # number of overall MSHR misses (Count)
system.cpu2.l2cache.overallMshrUncacheable::cpu2.inst           50                       # number of overall MSHR uncacheable misses (Count)
system.cpu2.l2cache.overallMshrUncacheable::cpu2.data         1660                       # number of overall MSHR uncacheable misses (Count)
